"1","",""
"67564 
270912 
16 
5 
3 
15 
935","104","6176 
26846"
"➢  බලපෑමට ලක් වූ දිසරික් සංඛ්‍යාව",":","10"
"➢  බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ සංඛ්‍යාව :","","88"
"➢  බලපෑමට ලක් වූ මුළු පවුේ සංඛ්‍යාව",":","67564"
"➢  බලපෑමට ලක් වූ මුළු පුේගල සංඛ්‍යාව",":","270912"
"➢  මියයෑම්",":","16"
"➢  තුවාල ලැබූ සංඛ්‍යාව",":","05"
"➢  අතුරුදහන් වීම්",":          03",""
"➢  මුළු පූර්ණ හානි සංඛ්‍යාව",":","15"
"➢  මුළු අර්ධ හානි සංඛ්‍යාව",":","935"
"➢  මුළු සුරක්ෂිත මධයසරථාන සංඛ්‍යාව",":","104"
"➢  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පවුේ සංඛ්‍යාව",":","6176"
"➢  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පුේගල සංඛ්‍යාව",":","26846"
"➢  ඥාති නිවාස වල සිටින මුළු පවුේ සංඛ්‍යාව",":","5700"
"➢  ඥාති නිවාස වල සිටින මුළු පුේගල සංඛ්‍යාව",":","22932"
