"sea areas.","","",""
"T","he forecast track and intensity of the system are given in the following table:","",""
"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","(Kmph)","disturbance"
"06.06.2023/1730","12.0/65.9","60-70 gusting to 80","Cyclonic Storm"
"07.06.2023/0530","12.7/65.8","70-80 gusting to 90","Cyclonic Storm"
"07.06.2023/1730","13.2/65.7","80-90 gusting to 100","Cyclonic Storm"
"08.06.2023/0530","13.9/65.6","90-100 gusting to 110","Severe Cyclonic Storm"
"08.06.2023/1730","14.4/65.5","95-105 gusting to 115","Severe Cyclonic Storm"
"09.06.2023/0530","15.1/65.4","105-115 gusting to 125","Severe Cyclonic Storm"
"09.06.2023/1730","15.7/65.3","115-125 gusting to 140","Very Severe Cyclonic Storm"
