"","Weather Forecast for Main Cities","","","","7-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","90","60","Mainly fair"
"Batticaloa","30","25","75","70","Mainly fair"
"Colombo","32","25","95","75","Mainly fair"
"Galle","32","24","95","65","Mainly fair"
"Jaffna","31","24","90","65","Mainly fair"
"Kandy","30","20","90","60","Mainly fair"
"Nuwara-Eliya","20","8","90","65","Mainly fair"
"Ratnapura","33","22","95","60","Mainly fair"
"Trincomalee","30","25","80","70","Mainly fair"
"Mannar","31","24","80","65","Mainly fair"
